"YR_MTH","REGION","NO_METER_PS","UTL_RATE"
"201301","HK",2540,40.0723655968865
"201301","KLN",6692,46.5858934590748
"201301","NT",8806,29.1499111992637
"201302","HK",2546,40.1051626934151
"201302","KLN",6687,44.4423488014389
"201302","NT",8809,29.5432799919579
"201303","KLN",6656,45.8058856923756
"201303","NT",8809,29.5061653732241
"201303","HK",2557,40.8594554390036
"201304","NT",8810,29.0612342024411
"201304","KLN",6652,45.5443625816102
"201304","HK",2557,40.3814411145353
"201305","NT",8811,28.7975007430064
"201305","HK",2566,41.2002139368811
"201305","KLN",6651,46.1008249116048
"201306","KLN",6649,46.371195096555
"201306","HK",2576,42.1501678783961
"201306","NT",8810,29.4540963645735
"201307","NT",8817,28.9998959072013
"201307","HK",2576,40.65426577235
"201307","KLN",6659,45.6589914311617
"201308","KLN",6659,45.3381769070555
"201308","HK",2580,40.6143659072425
"201308","NT",8817,28.8419797933931
"201309","NT",8816,29.2385676380296
"201309","HK",2585,41.3715379397928
"201309","KLN",6653,45.4937367835318
"201310","HK",2592,42.6509665649901
"201310","KLN",6643,46.3415840334012
"201310","NT",8816,29.4416196824792
"201311","NT",8814,29.3395792526201
"201311","HK",2592,41.0633794187137
"201311","KLN",6649,46.642861436529
"201312","NT",8804,29.3668047713286
"201312","HK",2591,39.8922018170772
"201312","KLN",6652,46.1144945904597
"201401","KLN",6642,46.5801099823517
"201401","HK",2619,40.0824083529221
"201401","NT",8783,29.8605889763138
"201402","HK",2619,39.480087128556
"201402","KLN",6637,44.6154414357062
"201402","NT",8662,29.4089491258261
"201403","HK",2618,40.1509824776052
"201403","KLN",6635,46.8262355324395
"201403","NT",8684,30.2715630067094
"201404","HK",2618,41.6646782299918
"201404","KLN",6633,45.6019656518789
"201404","NT",8691,30.4687507342774
"201405","HK",2618,40.6257053312082
"201405","KLN",6633,45.5987557739085
"201405","NT",8690,29.4145002468693
"201406","KLN",6636,46.1363240412259
"201406","HK",2618,42.0702501838885
"201406","NT",8701,31.0594729281165
"201407","KLN",6632,46.0215883071212
"201407","HK",2616,41.4472794797959
"201407","NT",8699,31.0665273017786
"201408","HK",2619,42.1722095945401
"201408","KLN",6642,45.7634360474113
"201408","NT",8672,31.7813225623546
"201409","KLN",6641,45.5998154970425
"201409","HK",2619,40.6357171268777
"201409","NT",8672,31.2457571132909
"201410","HK",2619,37.9166047249326
"201410","KLN",6637,43.7015026182278
"201410","NT",8668,30.7686662010133
"201411","HK",2614,37.8164646049565
"201411","KLN",6637,44.1830924244459
"201411","NT",8641,31.002095991651
"201412","HK",2615,36.2338659625722
"201412","KLN",6641,43.3958695522628
"201412","NT",8655,30.3900339541861
"201501","KLN",6639,44.3868250781979
"201501","HK",2615,38.8700477730058
"201501","NT",8655,31.4941212876777
"201502","HK",2617,38.5856020525193
"201502","KLN",6638,43.2285165557898
"201502","NT",8693,31.3558204920244
"201503","HK",2613,39.2665497388685
"201503","KLN",6661,45.1517919770307
"201503","NT",8680,32.0804526427398
"201504","HK",2616,40.513761689541
"201504","KLN",6644,43.6133350777355
"201504","NT",8684,32.9312816828836
"201505","HK",2621,38.8109622916905
"201505","KLN",6637,43.9832056067332
"201505","NT",8684,31.6763301768716
"201506","KLN",6636,44.3939885590721
"201506","HK",2620,39.3303199720793
"201506","NT",8684,31.9060102649497
"201507","KLN",6636,43.2580947759676
"201507","HK",2645,37.6329928166726
"201507","NT",8578,31.9619240602161
"201508","HK",2645,39.3517068917659
"201508","KLN",6629,44.1477529875107
"201508","NT",8577,32.4699777896612
"201509","KLN",6632,44.4265183249197
"201509","HK",2678,38.5240384971831
"201509","NT",8577,32.9072266241436
"201510","HK",2678,38.1389727200302
"201510","KLN",6630,43.9835030875698
"201510","NT",8577,32.4401782006063
"201511","HK",2682,38.1181254669055
"201511","KLN",6626,44.5179050021638
"201511","NT",8593,33.158893935128
"201512","HK",2682,35.477474940105
"201512","KLN",6633,43.7008033999139
"201512","NT",8597,32.9314235463436
"201601","KLN",6624,42.8766503564078
"201601","HK",2681,34.5341666821635
"201601","NT",8597,31.9983941373204
"201602","HK",2684,35.1649917483012
"201602","KLN",6617,41.64804818176
"201602","NT",8595,32.4312503602191
"201603","NT",8600,32.8779807653017
"201603","HK",2684,35.3221543012517
"201603","KLN",6616,42.267836830284
"201604","NT",8606,32.7951458702157
"201604","KLN",6624,42.785104209195
"201604","HK",2684,35.805106883168
"201605","HK",2684,38.3982808072104
"201605","NT",8606,33.5097207981266
"201605","KLN",6622,43.0243683973963
"201606","NT",8606,34.5531178563514
"201606","KLN",6624,44.4113392222493
"201606","HK",2688,39.0155826888505
"201607","NT",8609,35.6396156205411
"201607","HK",2688,39.8594619754118
"201607","KLN",6624,44.6219113883474
"201608","KLN",6624,43.1017866758358
"201608","NT",8609,33.8652384588009
"201608","HK",2689,37.1083991424812
"201609","NT",8607,34.9934849670697
"201609","HK",2689,38.3231845810905
"201609","KLN",6586,44.684646930133
"201610","KLN",6586,42.744628223924
"201610","NT",8625,34.2761206362528
"201610","HK",2693,37.8070574017933
"201611","HK",2693,37.951657141949
"201611","KLN",6556,44.6946556961618
"201611","NT",8587,34.9116374336574
"201612","HK",2695,38.2884932988206
"201612","KLN",6556,45.0881263528597
"201612","NT",8611,36.3935153900174
"201701","HK",2695,38.1054179208954
"201701","KLN",6556,43.6764164076019
"201701","NT",8621,35.8061647623382
"201702","HK",2693,37.9972304850671
"201702","KLN",6558,44.588391197146
"201702","NT",8622,36.5304811746311
"201703","KLN",6540,44.8406885952538
"201703","NT",8626,36.426688302536
"201703","HK",2693,38.2995653989061
"201704","NT",8626,37.3230114496111
"201704","KLN",6552,43.3187515190552
"201704","HK",2693,40.6714448472991
"201705","NT",8626,36.7050729581852
"201705","HK",2696,40.115405840015
"201705","KLN",6550,43.1202038954173
"201706","KLN",6547,42.1761326659647
"201706","HK",2700,37.8436460911322
"201706","NT",8613,35.1227715063166
"201707","NT",8641,36.447160534816
"201707","HK",2699,39.4068865151621
"201707","KLN",6572,42.8364616870159
"201708","HK",2684,38.1751127294406
"201708","KLN",6572,42.1151544023599
"201708","NT",8611,35.4242775094144
"201709","NT",8615,37.0496739945359
"201709","HK",2672,39.4653812835841
"201709","KLN",6576,44.4106871114206
"201710","NT",8615,37.6876900931705
"201710","HK",2672,40.0825512039058
"201710","KLN",6585,42.5483071129994
"201711","HK",2672,38.8316998724738
"201711","KLN",6585,44.2555629229599
"201711","NT",8615,38.2080941752629
"201712","NT",8613,38.8879108295284
"201712","KLN",6587,43.662878892759
"201712","HK",2672,38.8052716692448
"201801","KLN",6587,43.0877282798105
"201801","NT",8641,38.3935115793036
"201801","HK",2675,37.1799650428979
"201802","NT",8627,39.2742873637331
"201802","HK",2705,37.9589642536971
"201802","KLN",6584,41.9329913052526
"201803","KLN",6589,43.5181391793054
"201803","NT",8556,40.7422977678416
"201803","HK",2705,40.1739499890823
"201804","KLN",6589,43.1572863518444
"201804","HK",2703,40.6296690841329
"201804","NT",8577,40.8083621203837
"201805","HK",2698,42.4728166338486
"201805","KLN",6589,43.2569448658051
"201805","NT",8597,40.3376204859334
"201806","KLN",6587,43.3171186443316
"201806","HK",2698,39.4502891736305
"201806","NT",8569,39.6418006574068
"201807","KLN",6586,42.7589934640461
"201807","NT",8531,39.9481824270075
"201807","HK",2699,39.0689076567072
"201808","NT",8527,39.5112682198378
"201808","KLN",6573,42.2435009365917
"201808","HK",2697,38.4458493811012
"201809","HK",2697,37.4492750417229
"201809","KLN",6611,41.6024274003206
"201809","NT",8550,38.4912439765611
"201810","NT",8548,40.5781581454425
"201810","KLN",6622,43.3643984489323
"201810","HK",2699,39.3663492444525
"201811","KLN",6622,43.838812431942
"201811","NT",8556,40.4750203034796
"201811","HK",2699,38.9805382256085
"201812","KLN",6620,43.4612385507769
"201812","NT",8579,41.0839445606051
"201812","HK",2699,38.4190851476254
"201901","NT",8578,41.0479173192394
"201901","KLN",6620,44.6400196359424
"201901","HK",2668,39.0533526892682
"201902","KLN",6626,43.9093679789577
"201902","HK",2668,39.3499735888369
"201902","NT",8577,40.8209469889265
"201903","KLN",6628,44.789733568476
"201903","NT",8577,40.9122327490742
"201903","HK",2671,39.9028154258196
"201904","KLN",6625,45.117890836325
"201904","NT",8578,40.6102892485274
"201904","HK",2668,40.3757607028929
"201905","NT",8541,40.666220744561
"201905","KLN",6607,44.7411896084417
"201905","HK",2669,39.8980011529319
"201906","NT",8550,40.3070968070493
"201906","HK",2665,37.2612225405922
"201906","KLN",6606,42.7202546021722
"201907","NT",8570,37.3525612972068
"201907","HK",2665,34.6694155634695
"201907","KLN",6616,38.8354624898412
"201908","KLN",6616,34.3964287473492
"201908","HK",2677,32.0206605898834
"201908","NT",8569,33.8976794787479
"201909","KLN",6652,32.6426319605293
"201909","NT",8567,32.2331782163607
"201909","HK",2677,32.0342162357621
"201910","KLN",6653,26.7691573136593
"201910","NT",8546,26.9760487112368
"201910","HK",2680,28.3308663508929
"201911","HK",2689,26.2135417341295
"201911","NT",8540,22.831004443325
"201911","KLN",6653,21.9079394226986
"201912","NT",8562,23.6505800880776
"201912","KLN",6663,23.9495761075962
"201912","HK",2724,26.264125190452
"202001","KLN",6661,23.4459615364155
"202001","NT",8562,22.8873875279417
"202001","HK",2729,25.7672360975672
"202002","NT",8560,22.272729246928
"202002","KLN",6662,20.362582274343
"202002","HK",2729,25.4799868896092
"202003","HK",2729,31.4200376913651
"202003","NT",8558,29.0033455151914
"202003","KLN",6656,25.8753552813207
"202004","HK",2729,35.5703638831502
"202004","KLN",6663,28.8701972875551
"202004","NT",8557,31.8280014660816
"202005","KLN",6665,30.7863086961729
"202005","NT",8546,32.7605426604557
"202005","HK",2733,36.4006118361343
"202006","NT",8564,31.3876436024407
"202006","HK",2727,33.773773290175
"202006","KLN",6664,30.7921433574597
"202007","HK",2715,34.3858250808011
"202007","NT",8563,31.0991306563594
"202007","KLN",6666,30.7979986660778
"202008","NT",8563,30.1512527891794
"202008","HK",2722,32.6783557612488
"202008","KLN",6667,29.7602140015194
"202009","HK",2722,34.0120285377298
"202009","KLN",6667,30.6325141261437
"202009","NT",8563,31.078170333666
"202010","KLN",6668,31.4358551187048
"202010","HK",2721,36.0554343448438
"202010","NT",8563,33.1554178412506
"202011","HK",2721,39.6513919953008
"202011","KLN",6669,34.5647981726953
"202011","NT",8466,35.4922878640827
"202012","KLN",6668,34.5659794116498
"202012","HK",2721,40.2243271720436
"202012","NT",8491,35.6016030260216
