YR_MTH,LOCATION,gov_UTL_RATE
201911,Aberdeen,74.061433447099
201911,City Hall,24.7058823529412
201911,Kennedy Town,70.76923076923079
201911,Kwai Fong,75.6813417190776
201911,Rumsey Street,54.970059880239496
201911,Shau Kei Wan,75.5844155844156
201911,Sheung Fung Street,76.40449438202249
201911,Star Ferry,36.339522546419104
201911,Tin Hau,68.9252336448598
201911,Tsuen Wan,83.8532110091743
201911,Yau Ma Tei,50.519480519480496
201912,Aberdeen,77.8156996587031
201912,City Hall,25.2941176470588
201912,Kennedy Town,74.35897435897441
201912,Kwai Fong,74.2138364779874
201912,Rumsey Street,53.8922155688623
201912,Shau Kei Wan,72.7272727272727
201912,Sheung Fung Street,77.9026217228464
201912,Star Ferry,40.053050397877996
201912,Tin Hau,71.49532710280371
201912,Tsuen Wan,84.954128440367
201912,Yau Ma Tei,51.428571428571395
202001,Aberdeen,76.4505119453925
202001,City Hall,27.058823529411804
202001,Kennedy Town,73.3333333333333
202001,Kwai Fong,66.6666666666667
202001,Rumsey Street,48.14371257485029
202001,Shau Kei Wan,74.025974025974
202001,Sheung Fung Street,76.40449438202249
202001,Star Ferry,40.848806366047704
202001,Tin Hau,68.2242990654206
202001,Tsuen Wan,84.0366972477064
202001,Yau Ma Tei,50.519480519480496
202002,Aberdeen,81.2
202002,City Hall,32.4
202002,Kennedy Town,73.3
202002,Kwai Fong,71.4
202002,Rumsey Street,44.6
202002,Shau Kei Wan,78.2
202002,Sheung Fung Street,75.7
202002,Star Ferry,40.3
202002,Tin Hau,67.5
202002,Tsuen Wan,82.8
202002,Yau Ma Tei,49.6
202003,Aberdeen,79.1808873720137
202003,City Hall,31.7647058823529
202003,Kennedy Town,76.9230769230769
202003,Kwai Fong,70.2448210922787
202003,Rumsey Street,42.9940119760479
202003,Shau Kei Wan,79.4805194805195
202003,Sheung Fung Street,80.1498127340824
202003,Star Ferry,40.3183023872679
202003,Tin Hau,68.45794392523361
202003,Tsuen Wan,83.4862385321101
202003,Yau Ma Tei,51.428571428571395
202004,Aberdeen,81.9112627986348
202004,City Hall,27.058823529411804
202004,Kennedy Town,78.97435897435899
202004,Kwai Fong,69.1148775894539
202004,Rumsey Street,39.0419161676647
202004,Shau Kei Wan,80.0
202004,Sheung Fung Street,83.5205992509363
202004,Star Ferry,37.40053050397879
202004,Tin Hau,68.45794392523361
202004,Tsuen Wan,81.2844036697248
202004,Yau Ma Tei,50.1298701298701
202005,Aberdeen,81.2286689419795
202005,City Hall,30.0
202005,Kennedy Town,78.4615384615385
202005,Kwai Fong,71.3747645951036
202005,Rumsey Street,40.9580838323353
202005,Shau Kei Wan,78.1818181818182
202005,Sheung Fung Street,85.3932584269663
202005,Star Ferry,41.114058355437706
202005,Tin Hau,69.6261682242991
202005,Tsuen Wan,80.55045871559629
202005,Yau Ma Tei,54.545454545454504
202006,Aberdeen,79.8634812286689
202006,City Hall,32.941176470588196
202006,Kennedy Town,80.5128205128205
202006,Kwai Fong,71.939736346516
202006,Rumsey Street,40.4790419161677
202006,Shau Kei Wan,77.40259740259741
202006,Sheung Fung Street,81.6479400749064
202006,Star Ferry,42.970822281167095
202006,Tin Hau,72.42990654205609
202006,Tsuen Wan,78.7155963302752
202006,Yau Ma Tei,55.194805194805205
202007,Aberdeen,80.8873720136519
202007,City Hall,31.1764705882353
202007,Kennedy Town,79.4871794871795
202007,Kwai Fong,72.50470809792841
202007,Rumsey Street,42.9940119760479
202007,Shau Kei Wan,78.44155844155841
202007,Sheung Fung Street,80.1498127340824
202007,Star Ferry,39.7877984084881
202007,Tin Hau,71.49532710280371
202007,Tsuen Wan,81.46788990825691
202007,Yau Ma Tei,53.766233766233796
202008,Aberdeen,77.4744027303754
202008,City Hall,27.647058823529395
202008,Kennedy Town,78.97435897435899
202008,Kwai Fong,71.5630885122411
202008,Rumsey Street,43.4730538922156
202008,Shau Kei Wan,79.22077922077919
202008,Sheung Fung Street,82.3970037453184
202008,Star Ferry,37.40053050397879
202008,Tin Hau,68.2242990654206
202008,Tsuen Wan,81.46788990825691
202008,Yau Ma Tei,51.9480519480519
202009,Aberdeen,75.4266211604096
202009,City Hall,31.7647058823529
202009,Kennedy Town,77.4358974358974
202009,Kwai Fong,71.939736346516
202009,Rumsey Street,45.6287425149701
202009,Shau Kei Wan,78.44155844155841
202009,Sheung Fung Street,79.0262172284644
202009,Star Ferry,41.9098143236074
202009,Tin Hau,68.6915887850467
202009,Tsuen Wan,82.2018348623853
202009,Yau Ma Tei,55.32467532467529
202010,Aberdeen,76.4505119453925
202010,City Hall,31.1764705882353
202010,Kennedy Town,78.4615384615385
202010,Kwai Fong,72.50470809792841
202010,Rumsey Street,36.407185628742496
202010,Shau Kei Wan,78.961038961039
202010,Sheung Fung Street,78.6516853932584
202010,Star Ferry,42.970822281167095
202010,Tin Hau,67.2897196261682
202010,Tsuen Wan,83.8532110091743
202010,Yau Ma Tei,51.038961038961
202011,Aberdeen,78.49829351535841
202011,City Hall,32.941176470588196
202011,Kennedy Town,77.948717948718
202011,Kwai Fong,71.3747645951036
202011,Rumsey Street,37.9640718562874
202011,Shau Kei Wan,79.4805194805195
202011,Sheung Fung Street,79.0262172284644
202011,Star Ferry,44.8275862068966
202011,Tin Hau,69.1588785046729
202011,Tsuen Wan,82.38532110091741
202011,Yau Ma Tei,74.5454545454545
202012,Aberdeen,76.4505119453925
202012,City Hall,26.470588235294105
202012,Kennedy Town,80.5128205128205
202012,Kwai Fong,73.0696798493409
202012,Rumsey Street,37.6047904191617
202012,Shau Kei Wan,80.77922077922081
202012,Sheung Fung Street,77.5280898876404
202012,Star Ferry,40.053050397877996
202012,Tin Hau,68.9252336448598
202012,Tsuen Wan,83.11926605504591
202012,Yau Ma Tei,60.571428571428605
